Id,Goal,Duration,Day1PledgedMoney,Day1#Backers,Day1#Tweets,Day1#Replies,Day1#Retweets,Day2PledgedMoney,Day2#Backers,Day2#Tweets,Day2#Replies,Day2#Retweets,Day3PledgedMoney,Day3#Backers,Day3#Tweets,Day3#Replies,Day3#Retweets,Day4PledgedMoney,Day4#Backers,Day4#Tweets,Day4#Replies,Day4#Retweets,Day5PledgedMoney,Day5#Backers,Day5#Tweets,Day5#Replies,Day5#Retweets,Day6PledgedMoney,Day6#Backers,Day6#Tweets,Day6#Replies,Day6#Retweets,Day7PledgedMoney,Day7#Backers,Day7#Tweets,Day7#Replies,Day7#Retweets,Day8PledgedMoney,Day8#Backers,Day8#Tweets,Day8#Replies,Day8#Retweets,Day9PledgedMoney,Day9#Backers,Day9#Tweets,Day9#Replies,Day9#Retweets,Day10PledgedMoney,Day10#Backers,Day10#Tweets,Day10#Replies,Day10#Retweets,State
5559,100000,30,0.0016,3.0,2.28121323577,0.0,0.0,0.0016,3.0,2.6477605799,0.0,0.0,0.0059,5.0,3.00187578693,0.0,0.0,0.00602,6.0,3.19107895135,0.0,0.0,0.00602,6.0,3.386015545,0.0,0.0,0.00657,8.0,3.57521870942,0.0,0.0,0.00658,9.0,3.76442187384,0.0,0.0,0.01158,10.0,3.95935846749,0.0,0.0,0.01173,11.0,5.0589040612,0.0,1.0,0.01293,13.0,5.13677396728,0.0,1.0,0
5560,80000,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5561,25000,34,0.12724,44.0,30.4398059953,0.0,8.0,0.17732,65.0,36.9633706246,0.0,9.96337062461,0.20144,74.0,42.0434438054,0.0,10.0,0.22864,87.0,43.491834394,0.0,10.0,0.23808,91.0,45.7544448363,0.0,10.0,0.24776,97.0,46.7164968122,0.0,10.0,0.25288,99.0,47.2352508182,0.0,10.0,0.259126454678,101.968847281,47.6020554109,0.0,10.0,0.2634,104.0,47.9815084379,0.0,10.0,0.286,114.0,53.0182695301,0.0,12.0,1
5562,750,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00933333333333,1.0,0.0,0.0,0.0,0.00933333333333,1.0,0.0,0.0,0.0,0.00933333333333,1.0,0.0,0.0,0.0,0.00933333333333,1.0,0.0,0.0,0.0,0.00933333333333,1.0,0.0,0.0,0.0,0.00933333333333,1.0,0.0,0.0,0.0,0.00933333333333,1.0,0.0,0.0,0.0,0.00933333333333,1.0,0.0,0.0,0.0,0
5563,250000,40,0.0,0.0,1.0,0.0,0.0,0.0002,1.0,1.0,0.0,0.0,0.0003,2.0,1.0,0.0,0.0,0.0003,2.0,1.0,0.0,0.0,0.0003,2.0,1.0,0.0,0.0,0.0003,2.0,1.0,0.0,0.0,0.0005,3.0,1.0,0.0,0.0,0.0005,3.0,1.0,0.0,0.0,0.0005,3.0,1.0,0.0,0.0,0.0005,3.0,2.26921761776,0.0,0.0,0
5564,6500,30,0.169230769231,2.0,1.02833767896,0.0,0.0,0.17,3.0,1.14487718968,0.0,0.0,0.183076923077,5.0,1.25798906772,0.0,0.0,0.340769230769,7.0,1.37110094577,0.0,0.0,0.346153846154,8.0,1.48764045648,0.0,0.0,0.346153846154,8.0,1.60075233453,0.0,0.0,0.346153846154,8.0,1.71386421257,0.0,0.0,0.346153846154,8.0,1.83040372329,0.0,0.0,0.347692307692,9.0,1.94351560133,0.0,0.0,0.349230769231,10.0,4.12974433889,0.0,2.0,1
5565,25000,30,0.0025292,6.0,7.17905437786,0.0,2.0,0.0172492,8.0,9.318106076,0.0,3.0,0.0454092,14.0,11.8178088455,0.0,3.0,0.0474092,18.0,19.1235815765,0.0,6.0,0.0557292,24.0,20.7887368862,0.0,6.0,0.0573292,25.0,22.5093791453,0.0,6.0,0.0609292,27.0,24.1073944124,0.0,6.0,0.0613292,28.0,24.8098982446,0.0,6.0,0.0782092,46.0,29.819897885,0.0,7.0,0.0826092,54.0,36.4640799701,0.0,12.4640799701,0
5566,4500,59,0.0133333333333,3.0,1.0,0.0,0.0,0.0133333333333,3.0,1.0,0.0,0.0,0.0133333333333,3.0,1.0,0.0,0.0,0.0133333333333,3.0,1.0,0.0,0.0,0.0133333333333,3.0,1.0,0.0,0.0,0.0133333333333,3.0,1.0,0.0,0.0,0.0133333333333,3.0,1.0,0.0,0.0,0.0140214964463,3.61934680165,1.0,0.0,0.0,0.0322222222222,7.0,1.0,0.0,0.0,0.0333333333333,8.0,1.0,0.0,0.0,0
5567,1000,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5568,5000,30,0.5526,72.0,21.0431671599,0.0,3.0,0.751044,105.0,25.8685314542,0.0,3.86853145422,0.981044,145.0,31.8357708454,1.0,4.0,1.073044,159.0,32.7231576886,1.0,4.0,1.099044,164.0,34.5332511324,1.0,4.0,1.191244,182.0,35.6897400425,1.0,4.0,1.241244,187.0,37.3568716189,1.0,5.0,1.332244,199.0,37.9706734726,1.0,5.0,2.53352162332,506.139710242,84.4461680053,1.0,8.0,2.81084,550.0,90.9562918429,1.0,8.0,1
